S.No,Unique ID,Stretch,Scheme,Package,SPV/Company,Company CIN,Developer,Developer CIN,State,Mode,Project Status,NH/SH,NH/SH No,Phase,Lane,Stretch (Kms),Lane Kilometer,RFP,RFQ,Letter Of Award,Concession Period (Years),Construction Period (Months),Concession Agreement Signed,Financial Closure,Construction Commencement,Scheduled Project Completion,Anticipated Completion,Provisional Commercial Operation Date,Actual Completion,Basis Of Award,Annuity (Rs.Cr),Grant (Rs.Cr),Negative Grant (Rs.Cr),Project Cost (Rs.Cr),Revised Project Cost (Rs.Cr),Dev Cost (Rs.Cr),Equity (Rs.Cr),Long Term Loan (Rs.Cr),Debt (Rs.Cr),Incremental Cost (Rs.Cr),TPC per km (Rs.Cr),Time Overrun (Months),Independent Engineer,Other members,Remarks,Project Name
83,N/02003/05001/TN,Hosur - Krishnagiri,NHDP ,,HK Toll Road Pvt Ltd,U45203MH2010PTC203370,Reliance Infrastructure Ltd,,Tamil Nadu,PPP BOT - Toll,Completed,National Highway,44,V,6,59.87,359.22,,Aug-2009,May-2010,24,30,Jul-2010,Mar-2011,Jun-2011,Dec-2013,Oct-2024,,Apr-2016,Negative Grant,0.00,0.00,66.90,535.00,172.46,0.00,360.00,554.00,564.00,,2.88,28,"MSV International Inc,ARMENGEEngineering and Management Consultants Pvt. Ltd. (JV)",,Design (km 33.13 - km 93.000); PCOD DATE - APRIL 2016;,6-laning of Hosur to Krishnagiri from Km.33.13 to Km. 93.000 on NH7under NHDP-V
84,N/02003/06001/TN,Krishnagiri - Walajahpet,NHDP ,,Krishnagiri Walajahpet Tollway Ltd,U45203TN2010PLC075446,L&T Infrastructure Development Projects Ltd,,Tamil Nadu,PPP BOT - Toll,Provisionally Completed,National Highway,48,V,6,148.34,890.04,,,Mar-2010,30,30,May-2010,,Jun-2011,Dec-2013,Dec-2024,Feb-2016,Dec-2013,Revenue Sharing,0.00,0.00,0.00,1250.00,0.00,1547.00,90.00,0.00,1100.54,297.00,8.43,,L.N. Malviya infra projects Pvt Ltd,,"Design (km 0.000 - km 148.340); PCOD - February 2016;
",6-laning of Krishnagiri (Km.0.000) to Walajahpet (Km.148.300) section onNH-46 under NHDP-V
85,N/02002/19001/KA,Nelamangala - Tumkur,Bharatmala Pariyojna,,,,H.G. Infra Engineering Ltd,L45201RJ2003PLC018049,Karnataka,EPC,Under implementation,National Highway,4,,6,44.733,268.398,Dec-2021,,Jan-2022,8,36,,,Aug-2022,Aug-2025,Mar-2027,,,,0.00,0.00,0.00,1112.10,0.00,0.00,0.00,0.00,0.00,,24.86,NA,"URS Scott Wilson India Pvt Ltd,Infra Support Engineering Consultant Pvt Ltd,Sri Infotech",,Design (km 29.435 - km 74.168);,6-laning with access control from km 29.435 to km 74.168 of Neelmangala – Tumkur including Tumkur bypass section of NH-48 (Old NH-4) in the State of Karnataka on EPC mode under Bharatmala Pariyojna.
86,N/02010/01002/TS,Thondupally - Kothur,Bharatmala Pariyojana,Hyderbad - Bangalore Section,,,Lakshmi Infrastructure & Developers India Pvt Ltd,U45209AP2014PTC095662,Telangana,EPC,Under implementation,National Highway,44,,6,11.844,71.064,Feb-2022,,Nov-2022,6.5,18,Dec-2022,,Mar-2023,Sep-2024,Aug-2025,,,,0.00,0.00,0.00,311.00,541.58,0.00,0.00,0.00,0.00,,45.73,6,LN Malviya Infra Projects Pvt. Limited in association with Intra tech Civil Solutions & Consultant,,Design (km 22.300 - km 34.144);,"6 - lanning of existing 4 lane from Km 22.300 (Thondupally) to Km 34.144 (Kothur) (Design Length = 11.844 Km) on Hyderabad – Bangalore Section of NH-44 in the State of Telangana under Bharatmala Pariyojana Phase On Engineering, Procurement & Construction (EPC) Mode"
87,N/02002/10001/KA,Belgaum - Sankeshwar,Bharatmala Pariyojana,Package - 1,,,Ashoka Buildcon Ltd,L45200MH1993PLC071970,Karnataka,EPC,Under implementation,National Highway,48,Phase - 1,6,40.017,240.102,Aug-2021,,Jan-2022,12.5,30,Mar-2022,,Oct-2022,Apr-2025,Apr-2025,,,,0.00,0.00,0.00,829.49,1479.30,0.00,0.00,0.00,0.00,,36.97,NA,"FP India Project Management Consultancy Services Pvt Ltd,Indian Engineering Consultant India Pvt Ltd",,Design (km 515.000 - km 555.017);,"6L from Belgaum to Sankeshwar Bypass from Km. 515+000 to Km. 555+017 of NH-48 in the state of Karnataka on Engineering, Procurement & Construction (EPC) Mode under Bharatmala Pariyojana (Package- I)."
88,N/04018/05003/AP ,Jakkuva - Korlam,Bharatmala Pariyojana,Raipur - Vizag Expressway (AP Package - 2),NKC JK Expressway Pvt Ltd,U45300DL2021PTC381005,NKC Projects Pvt Ltd,,Andhra Pradesh,PPP HAM,Under implementation,National Highway,130,Phase - 1,6,24.3,145.8,,,Mar-2021,17,24,Jul-2021,,Mar-2022,Mar-2024,Oct-2024,,,,0.00,272.40,0.00,681.00,663.60,0.00,81.40,0.00,245.00,,27.31,12,"ISAN Corporation,Chaitanya Projects Consultancy Pvt Ltd",,Design (km 396.800 - km 421.100);,6L Jakkuva – Korlam Section of NH-130CD Road from km 396.800 to km 421.100 (Pkg 2)
89,N/04018/05005/AP,Kantakapalle - Sabbavaram,Bharatmala Pariyojana,Raipur - Vizag Expressway (AP Package - 4),NKC KS Expressway Pvt Ltd,U45309DL2021PTC387570,NKC Projects Pvt Ltd,,Andhra Pradesh,PPP HAM,Under implementation,National Highway,130 CD,Phase - 1,6,19.562,117.372,,,Sep-2021,,,Dec-2021,,Oct-2022,Oct-2024,Nov-2024,,,,0.00,255.20,0.00,638.00,824.29,0.00,78.40,0.00,237.00,,42.14,5,"Dhruv Consultancy Services Ltd,Global Infra Solutions & association with Kaius Consulting Pvt Ltd",,Design (Km 445.100 - Km 464.662);,6L Kantakapalle – Sabbavaram Section of NH-130CD Road from Km 445.100 to Km 464.662 (Pkg-4) 
90,N/04018/05004/AP,Korlam - Kantakapalle,Bharatmala Pariyojana,Raipur - Vizag Expressway (AP - Package - 3),Korlam Kantakapalle Expressways Pvt Ltd,U45309TG2021PTC153909,PSK Infrastructures And Projects Pvt Ltd,,Andhra Pradesh,PPP HAM,Provisionally Completed,National Highway,130 CD,Phase - 1,6,24,144,,,Jul-2021,17,24,Sep-2021,,Feb-2022,Feb-2024,Feb-2024,Dec-2023,,,0.00,0.00,0.00,836.70,0.00,772.70,0.00,0.00,0.00,-64.00,34.86,,"Global Infra Solutions & Association,Dhruv Consultancy Services Ltd,Kaius Consulting Pvt Ltd",,"Design ( km 421.100 to km 445.100);
PCOD: December 2023;",6L Korlam – Kantakapalle Section of NH-130-CD Road from Km 421+100 to Km 445+100 under Raipur – Visakhapatnam Economics Corridor in the State of Andhra Pradesh on Hybrid Annuity Mode [Package – 3(AP)]
91,N/03006/02001/AP,Anandapuram - Pendurthi - Anakapalli,Bharatmala Pariyojana,,DBL Anandapuram Anakapalli Highways Pvt Ltd,U45309MP2018PTC045402,Dilip Buildcon Ltd,,Andhra Pradesh,PPP HAM,Provisionally Completed,National Highway,16 (Old No 5),Phase - 1,6,50.78,304.68,,,Feb-2018,17.8,34,Apr-2018,Jan-2019,Jan-2019,Oct-2021,Oct-2024,Aug-2021,Nov-2021,,0.00,0.00,0.00,2013.00,2527.00,2355.49,0.00,0.00,0.00,342.49,49.76,,,,"Design (km 681.000 - km 731.780);
PCOD - November - 2021;","6L of Anandapuram-Pendurthi-Anakapalli section of NH-5 (new NH-16) from 681.000 km (existing 681.000 km) to 731.780 km (existing 742.400 km) (design length=50.780 km) in Andhra Pradesh on hybrid annuity mode (HAM), under Bharatmala Pariyojana."
92,N/04002/11001/KL,Azhiyur - Vengalam,Bharatmala Pariyojana,,Azhiyur Vengalam Road Pvt Ltd,U45203GJ2021PTC119861,Adani Enterprises Ltd,,Kerala,PPP HAM,Under implementation,National Highway,66,Phase - 1,6,40.8,244.8,Aug-2020,,Jan-2021,17.5,30,Mar-2021,,Oct-2021,Jul-2024,Dec-2025,,,,0.00,735.24,0.00,1838.10,3205.77,0.00,0.00,0.00,747.00,,78.57,8,"SATRA Service and Solution Pvt Ltd,Feedback Infra Pvt Ltd (JV)",,Design (km 189.200 - km 230.400);,6L of Azhiyur-Vengalam from km. 189.200 to km. 230.400 of NH-66
93,N/04031/01001/KA,Bangalore - Nidagatta,Bharatmala Pariyojana,Bengaluru - Mysuru Expressway (Package - 1),DBL Bangalore Nidagatta Highways Pvt Ltd,U45309MP2018PTC045392,Dilip Buildcon Ltd,,Karnataka,PPP HAM,Provisionally Completed,National Highway,275,Phase - 1,6,56.2,337.2,,,Feb-2018,17.5,30,Apr-2018,Apr-2019,May-2019,Nov-2021,Oct-2023,Dec-2022,,Grant,0.00,944.10,0.00,2190.00,3496.01,0.00,0.00,752.00,752.00,,62.21,,L.N. Malviya infra projects Pvt Ltd,,"Design (km 18.00 - km 74.20);
PCOD - December 2022;
EOT on account of COVID-19;",6L of Bengaluru-Nidagatta section 18.000 km to 74.200 km of NH-275 in the state of Karnataka to be executed on hybrid annuity mode (HAM).
94,N/04002/06001/KL,Chengala - Neeleshwaram,Bharatmala Pariyojana,,MEIL Chengala Roadways Pvt Ltd,U45201TG2020PTC145490,Megha Engineering & Infrastructures Ltd,,Kerala,PPP HAM,Under implementation,National Highway,66,Phase - 1,6,37.27,223.62,Nov-2019,,Oct-2020,,30,Dec-2020,,Oct-2021,Apr-2024,Nov-2025,,,,0.00,0.00,0.00,1697.55,1746.45,0.00,0.00,0.00,0.00,,46.86,11,"L.N. Malviya infra projects Pvt Ltd,Highway Engineering Consultant",Navayuga Engineering Co Ltd (Consortium),Design (km 56.200 - km 93.468);,6L of Chengala - Neeleshwaram from km. 56.200 to km. 93.468.
95, N/04022/01002/TN, 6L of Chennai Bypass Phase - II connecting NH-4 and NH-5 and  widening of Chennai Phase -I connecting NH-45 and NH - 4, Others,,,,,,Tamil Nadu,EPC,Completed,National Highway, 32,Phase - II,6,32.6,195.6,,,May-2005,,,,,May-2005,Nov-2007,,Feb-2011,May-2011,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,42,Pioneer Infra Consultants Pvt. Ltd,,From Km 0/00 to Km.32.600, 6L of Chennai Bypass Phase - II connecting NH-4 and NH-5 and  widening of Chennai Phase -I connecting NH-45 and NH - 4 (From Km  0/00 to Km.32.600)
96,N/02004/26001/AP,Chilakaluripet - Vijayawada,NHDP,,Vijayawada Tollway Pvt Ltd,U45203TG2008PTC058464,IJM (India) Infrastructure Ltd,,Andhra Pradesh,PPP BOT - Toll,Completed,National Highway,16,V,6,82.5,495,Nov-2006,,Feb-2008,15,30,Jun-2008,,May-2009,Oct-2011,,May-2016,May-2016,Revenue Sharing,0.00,0.00,0.00,572.30,0.00,2398.33,0.00,0.00,0.00,1.00,6.94,55,MSV International Inc. in associates with M/s. Sri  Infotech,,"Design (km 355.000 - km 434.150);
",6L of Chilakaluripet-Vijayawada Section of NH-5 from Km.355.000 to Km.434.150 in the state of Andhra Pradesh to be executed as BOT(Toll) on DBFO pattern under NHDP Phase V.
97,N/02002/16001/KA,Chitradurga - Davanagere,NHDP,,PNC Chitradurga Highways Pvt Ltd,U45500DL2017PTC316429,PNC Infratech Ltd,,Karnataka,PPP HAM,Completed,National Highway,48,V,6,72.7,436.2,Nov-2016,,Mar-2017,17.5,30,Jun-2017,Dec-2017,Dec-2017,Jun-2020,Apr-2023,,Feb-2023,,0.00,624.77,0.00,1434.00,0.00,1937.61,71.00,0.00,606.47,503.61,19.72,32,"URS Scott Wilson India Pvt Ltd,G-Eng Advisory Services Pvt Ltd",,"Design (0.00 to km 20.700) and (208.00 to km 260.00);
PCOD on June, 2021;
COD - February - 2023
","6L of Chitradurga-Davanagere road, including Chitradurga bypass from km 0.00 to km 20.700, and km 208.00 to km 260.00 of NH-44, to be executed on Hybrid annuity mode, under NHDP Phase-V"
98,N/02004/23001/AP,Gundugolanu - Kalaparru,Bharatmala Pariyojana,,,,Varaha Infra Ltd,U45201RJ2008PLC026344,Andhra Pradesh,EPC,Provisionally Completed,National Highway,16,Phase - 1,6,27.4,164.4,Oct-2018,,Oct-2019,5.5,18,Oct-2019,,Jan-2020,Jul-2021,Jan-2025,Jun-2023,,,0.00,0.00,0.00,486.34,0.00,665.59,0.00,0.00,0.00,179.25,17.75,,SA Infrastructure Consultants Pvt Ltd,JCEG (JV),Design (km 1023.280 - km 1050.680); Anticipated Completion date updated in a Data Lake file-Old Data Lake file deleted.,6L of existing 4-lane road from Gundugolanu (Design km 1023.280) to Kalaparru (Design km 1050.680) of NH-5 (New NH-16) (Design length = 27.400 km) in the State of Andhra Pradesh under NHDP Phase-V under Bharatmala Pariyojana on EPC Mode
99,N/04002/19004/KL,Kadambattukonam - Kazhakuttom,Bharatmala Pariyojana,,,,RDS Project Ltd,U51909DL1992PLC049570,Kerala,EPC,Under implementation,National Highway,66,Phase - 1,6,29.28,175.68,Oct-2021,,Mar-2022,7.5,30,May-2022,,Jul-2022,Jan-2025,Mar-2026,,,,0.00,0.00,0.00,795.00,3635.64,0.00,0.00,0.00,0.00,,124.17,1,"LN Malviya Infra Projects Pvt Ltd,Intratech Civil Solutions & Consultant",,Design (km 517.250 - km 547.080);,6L of Kadambattukonam (Design Ch. 517.250) - Start of Kazhakuttam Flyover (Design Ch. 547.080) section of New NH-66 (Old NH-47) in the State of Kerala on EPC Mode under Bharatmala Pariyojana
100,N/04002/15003/KL,Kappirikkad - Thalikulam,Bharatmala Pariyojana,,Kappirikkad Highways Pvt Ltd,U45203DL2021PTC387482,Shivalaya Construction Company Pvt Ltd,,Kerala,PPP HAM,Under implementation,National Highway,66,Phase - 1,6,33.17,199.02,,,Sep-2021,,,Nov-2021,,Sep-2022,Jan-2025,Nov-2025,,,,0.00,0.00,0.00,1164.31,3606.00,0.00,0.00,0.00,0.00,,108.71,1,"LN Malviya Infra Projects Pvt Ltd,Intratech Civil Solutions & Consultant (JV)",,Design (km 335.85 - km 369.015);,6L of Kappirikkad to Thalikulam section from km 335.85 to km 369.015 ofNH - 66 (old NH-17)
101,N/02003/08003/TN,Karaipettai - Walajapet,Bharatmala Pariyojana,,,,SPK Projects and Services Pvt Ltd,U70101TN2007PTC065520,Tamil Nadu,EPC,Under implementation,National Highway,48,V,6,36.081,216.486,May-2018,,Oct-2018,6,24,Oct-2018,,Feb-2019,Feb-2021,Apr-2025,,,,0.00,0.00,0.00,533.37,776.70,0.00,0.00,0.00,0.00,,21.53,48,SA Infrastructure Consultants Pvt. Ltd.,,Design (km 71.015 - km 107.091);,"6L of Karaipettai to Waljapet Section of NH-4 (New NH-48) from Km. From 71+015 to Km 107+091 on EPC Mode in the state of Tamil Nadu under NHDP Phase -V on Engineering, Procurement & Construction (EPC) Mode"
102,N/05052/02002/TN,Kumarajapet - Veera Kaveri Raja Puram,Bharatmala Pariyojana,Chittoor - Thatchur Expressway (Package - 2),Nagari Roadways Pvt Ltd,U45203KL2021PTC070138,EKK Infrastructure Ltd,,"Andhra Pradesh,Tamil Nadu",PPP HAM,Under implementation,National Highway,716 B,Phase - 1,6,17.58,105.48,,,Aug-2021,,,Nov-2021,,Oct-2023,Oct-2025,Oct-2025,,,,0.00,0.00,0.00,577.00,591.99,0.00,0.00,0.00,0.00,,33.67,NA,MSV International Inc. in association with ARMENGE Engineering and Management Consultants Pvt Ltd,,Design (km 43.800 to km 61.380);,6L of Kumarajapet to Veera Kaveri Raja Puram from km 43.800 to km 61.380 of NH-716B (Pkg-2)
103,N/04008/03004/KA,MH/KN Border - KN/TS Border,Bharatmala Pariyojana,Nimbal village - Singnodi village (Package - 4),Ashoka Baswantpur Singnodi Road Pvt Ltd,U45401DL2022PTC396592,Ashoka Buildcon Ltd,,Karnataka,PPP HAM,Under implementation,National Highway,150 C,Phase - 1,6,40.6,243.6,,,Mar-2022,17.5,30,May-2022,Oct-2022,Nov-2022,May-2025,May-2025,,,,0.00,431.60,0.00,987.68,1499.73,0.00,260.30,390.00,0.00,,36.94,NA,"LN Malviya Infra Projects Pvt. Ltd,IntratechCivil Solutions & Consultant",,Design (km 162.500 to km 203.100),6L of MH/KN Border (Nimbal Village) to KN/TS Border (Singnodi Village) fromKm. 162.5 to Km. 203.100 in Raichur of NH-150C (Pkg-IV)
104,N/04008/03002/KA,Badadal - Maradgi S. Andola,Bharatmala Pariyojana,Solapur - Chennai Economic Corridor (Maharashtra - Karnataka Section) (Package - 2),Akkalkot Highways Pvt Ltd,U45203DL2022PTC397103,PNC Infratech Ltd,,Karnataka,PPP HAM,Under implementation,National Highway,150 C,Phase - 1,6,71,426,Dec-2021,,Mar-2022,17.5,30,May-2022,Oct-2022,Dec-2022,Jun-2025,,,,,0.00,0.00,0.00,1575.00,0.00,0.00,91.00,0.00,812.00,,22.18,NA,,,Design (km 26.000 - km 97.000);,6L of MH/KN Border (Nimbal Village) to KN/TS Border (Singnodi Village) from Km. 26.000 to Km. 97.000 in Gulbarga of NH-150C (Pkg-II) 
105,N/04008/03003/KA,Maradgi S. Andola - Baswantpur,Bharatmala Pariyojana,Solapur - Chennai Economic Corridor (Maharashtra - Karnataka Section) (Package - 3),Maradgi S Andola - Baswantpur Highways Ltd,U45403MP2022PLC064024,Dilip Buildcon Ltd,,Karnataka,PPP HAM,Under implementation,National Highway,150 C,Phase - 1,6,65.5,393,Dec-2021,,Dec-2022,17.5,30,Feb-2023,Apr-2023,Apr-2023,Oct-2025,,,,,0.00,0.00,0.00,1589.00,0.00,0.00,0.00,0.00,0.00,,24.26,NA,"Theme Engineering Services Pvt Ltd,Ishita Info Solution Pvt Ltd",,Design (97.000 - km 162.500);,6L of MH/KN Border (Nimbal Village) to KN/TS Border (Singnodi Village) from Km. 97.000 to Km. 162.500 in Yadgir of NH-150C (Pkg-III) 
106,N/07062/01002/AP,Naidupeta - Turpukanupur,Bharatmala Pariyojana,,APCO Sri Venkateshwara Expressway Pvt Ltd,U43299UP2023PTC177689,APCO Infratech Pvt Ltd,,Andhra Pradesh,PPP HAM,Under implementation,National Highway,71,,6,34.881,209.286,,,Feb-2023,,24,May-2023,,Oct-2023,Oct-2025,Oct-2025,,,,0.00,0.00,0.00,961.20,1398.84,0.00,0.00,0.00,0.00,,40.10,NA,,,Design (km 57.046 - km 91.927);,6L of Naidupeta Junction - Turpukanupur Section from km 57.046 to km 91.927
107,N/02004/14001/AP,Narasannapeta - Ranastalam,NHDP ,,APCO Arasavalli Expressway Pvt Ltd,U45309UP2017PTC099555,APCO Infratech Pvt Ltd,,Andhra Pradesh,PPP HAM,Completed,National Highway,16 (Old No 5),V,6,49.63,297.78,Jan-2017,,Dec-2017,17.5,30,Jan-2018,,Jan-2019,Mar-2022,Mar-2023,,Jan-2022,,0.00,0.00,0.00,1350.00,0.00,1423.15,0.00,0.00,0.00,73.15,27.20,1,Lion Engineering Consultant Pvt Ltd,,"Design(km 580.671 - km 634.861);
The total length of the project was reduced to 49.63km from 54.19km after the descoping of Ranastalam bypass;",6L of Narasannapeta - Ranastalam Section of NH-16 (old NH-5) from km 580.671 (existing chainage km 580.700) to km 634.861 (existing chainage km 634.000) in the State of Andhra Pradesh under NHDP Phase-V on Hybrid Annuity Mode
108,N/04027/04001/AP,Chittoor - Mallavaram,Bharatmala Pariyojana,,KNR Tirumala Infra Pvt Ltd,U45500TG2018PTC123857,KNR Constructions Ltd,,Andhra Pradesh,PPP HAM,Completed,National Highway,140,Phase - 1,6,61.128,366.768,Mar-2018,,Mar-2018,17.5,30,May-2018,Jul-2018,Jan-2019,Sep-2021,,,May-2021,,0.00,692.03,0.00,1730.07,0.00,2330.81,190.47,0.00,573.00,600.74,28.30,-4,"Lion Engineering Consultant Pvt Ltd,Synergy Engineers Grp Pvt Ltd",,"Design (km 0.000 - km 61.128);
PCOD - May-2021;","6 L of NH-140 from Chittoor (Design KM 0.000/Existing KM 158.000 of NH-4) to Mallavaram (Design KM 61.128lExisting KM 41,800 of NH-140) Design Length = KM 61.'128 in the State of Andhra Pradesh under - Bharatamala Pariyojana on Hybrid Annuity Mode"
109,N/04002/08001/KL,Neeleshwaram - Thaliparambha,Bharatmala Pariyojana,,Meil Neeleshwaram Roadways Pvt Ltd,U45500TG2020PTC145489,Megha Engineering & Infrastructures Ltd,,Kerala,PPP HAM,Under implementation,National Highway,66,Phase - 1,6,40.11,240.66,Feb-2020,,Oct-2020,,26,Dec-2020,,Oct-2021,Jan-2024,Dec-2025,,,,0.00,0.00,0.00,2251.00,3041.65,0.00,0.00,0.00,0.00,,75.83,14,"LEA Associates South Asia Pvt Ltd.,PioneerInfra Consultant Pvt Ltd. (JV)",Navayuga Engineering Co. Ltd Consortium,Design (km 94.248 -  km 134.650);,6L of Perole (Nileshwar town) to Taliparamba from Km 94.248 to Km 134.650 of NH-66
110,N/04008/08002/TN,Pondavakkam - Kannigaipair,Bharatmala Pariyojana,Chittoor - Thatchur Expressway (Package - 4),Chittoor Thachur Highway Pvt Ltd,U45400MH2021PTC369357,IRB Infrastructure Developers Ltd,,"Andhra Pradesh,Tamil Nadu",PPP HAM,Under implementation,National Highway,716 B,Phase - 1,6,20.06,120.36,,,Sep-2021,17,24,Dec-2021,May-2022,Jan-2023,Jan-2025,Nov-2025,,,,0.00,363.60,0.00,909.00,818.73,0.00,116.04,0.00,429.36,,40.81,1,"Dhruv Consultancy Services Ltd (JV),Global Infra Solutions & association with Kaius Consulting Pvt Ltd",,Design (km 96.040 - km 116.100);,6L of Pondavakkam to Kannigaipair from km 96.040 to km 116.100 of NH 716B (Pkg-IV)
111,N/02004/27002/AP,Chilakaluripet Bypass,Bharatmala Pariyojana,,Chilakaluripet Bypass Pvt Ltd,U45101TG2019PTC131953,BSCPL Infrastructure Ltd,,Andhra Pradesh,PPP HAM,Under implementation,National Highway,16,,6,16.38,98.28,,,Mar-2019,,,Aug-2019,,Jun-2021,Mar-2023,Jan-2025,,,,0.00,0.00,0.00,712.44,757.45,0.00,0.00,0.00,0.00,,46.24,24,"SATRA Services and Solutions Pvt Ltd JV ,K&J Projects Pvt Ltd",,Design (km 357.400 - km 371.920);,6L of Proposed Chilakaluripet Bypass on NH 16 (Old NH 05) from Km 357+400 to Km 371+920 (Bypass Length – 16.384 Kms) on Hybrid Annuity Mode in the State of Andhra Pradesh under Bharatmala Pariyojna
112,N/02003/08002/TN,Sriperumbudur - Karaipettai,Bharatmala Pariyojana,Package - 1,,,KMC Constructions Ltd,U45200TG1993PLC015200,Tamil Nadu,EPC,Completed,National Highway,48,Phase - I,6,34.02,204.12,Jul-2018,,Jan-2019,24,,Feb-2019,,May-2019,May-2021,Mar-2026,,,,0.00,0.00,0.00,654.26,819.89,0.00,0.00,0.00,0.00,,24.10,,SA Infrastructure Consultants Pvt. Ltd.,JSR Infra Developers Pvt Ltd,Design (km 37.000 - km 71.015);,6L of Sriperumbudur to Karaipettai from Km 37.000 to Km 71.015 of NH 48
113,N/04002/15004/KL,Thalikulam - Kodugallur,Bharatmala Pariyojana,,Kodungallur Highways Pvt Ltd,U45209DL2021PTC387537,Shivalaya Construction Company Pvt Ltd,,Kerala,PPP HAM,Under implementation,National Highway,66,,6,28.835,173.01,Jan-2021,,Sep-2021,,29,Nov-2021,,Sep-2022,Feb-2025,Dec-2025,,,,0.00,0.00,0.00,1231.70,1420.00,0.00,0.00,0.00,0.00,,49.25,,"LN Malviya Infra Projects Pvt Ltd,Intratech Civil Solutions & Consultant (JV)",,Design (km 369.015 - km 397.850);,6L of Thalikulam to Kodugallur section from km 369.015 to km 397.850 of NH - 66 (old NH-17)
114,N/07053/01001/TN,Tuticorin Port Road Section,NH(O),,,,PST Engineering Construction,U74140HR2021FTC096642,Tamil Nadu,EPC,Under implementation,National Highway,138,,6,6,36,Jan-2023,,Mar-2023,,12,Apr-2023,,Jul-2023,Sep-2024,Jan-2025,,,,0.00,0.00,0.00,130.20,200.30,0.00,0.00,0.00,0.00,,33.38,6,Almondz Global Infra-Consultant Ltd. in JV with Geo Designs and Research Pvt. Ltd.,,Design (km 0.000 - km 6.140);,6L of Tuticorin Port Road section of NH-7A (New NH-138) from Km 0.000 to Km 6.140
115,N/04002/14001/KL,Valanchery Bypass - Kappirikkad Section ,Bharatmala Pariyojana,,KNR Guruvayur Infra Pvt Ltd,U45400TG2021PTC150805,KNR Constructions Ltd,,Kerala,PPP HAM,Under implementation,National Highway,66,Phase - 1,6,37.35,224.1,Dec-2020,,Mar-2021,17.5,30,Jun-2021,Nov-2021,Jan-2022,Jul-2024,Mar-2025,,,,0.00,924.25,0.00,2140.00,3375.31,0.00,209.15,0.00,826.00,,90.37,8,Voyants Solutions Pvt Ltd,,Design (km 298.500 - km 335.850),6L of Valanchery bypass to Kappirikkad of NH – 66 from km. 298+500 to km 335+850
116,N/05052/01002/AP,Varadharajula - Kumarajapet,Bharatmala Pariyojana,Chittoor - Thatchur Expressway (Package - 1),KCC Chittoor Highways Pvt Ltd,U45309DL2021PTC382558,KCC Buildcon Pvt Ltd,,"Andhra Pradesh,Tamil Nadu",PPP HAM,Under implementation,National Highway,716 B,Phase - 1,6,43.8,262.8,,,Aug-2021,17,24,Nov-2021,,Dec-2022,Dec-2024,May-2025,,,,0.00,572.40,0.00,1431.00,1484.83,0.00,0.00,0.00,550.00,,33.90,3,MSV International Inc. in association with ARMENGE Engineering and Management Consultants Pvt Ltd,,Design (km 0.000 - km 43.800);,6L of Varadharajula to Kumarajapet from km 0.000 to km 43.800 of NH-716B (Pkg-I)
117,N/02004/24001/AP,Chinna Avutapalli - Gollapudi,Bharatmala Pariyojana,Vijayawada- Gundugolanu (Package - 3),Meil Vijayawada Bypass Roadways Pvt Ltd,U45201TG2020PTC140185,Megha Engineering & Infrastructures Ltd,,Andhra Pradesh,PPP HAM,Provisionally Completed,National Highway,16,Phase - 1,6,30,180,,,Mar-2020,,,Jul-2020,,Feb-2021,Feb-2023,Dec-2024,Mar-2023,,,0.00,0.00,0.00,1148.00,1581.24,0.00,0.00,0.00,0.00,,52.71,,"Lion Engineering Consultants Pvt Ltd,Architechno consultants Pvt Ltd,Sugam Technocrats Pvt Ltd",Navayuga Engineering,"Design (km 0.000 - km 30.000); 
PCOD Date - March 2024; ",6L of Vijayawada Bypass from Chinna Avutapalli to Gollapudi in Vijayawada - Gundugolanu Section from km. 0.00 to km. 30.00 (Pkg-III)
118,N/02004/24002/AP,Gollapudi - Chinnakakani,Bharatmala Pariyojana,Package - 4,Vijayawada Bypass Project Pvt Ltd,U74999GJ2020PTC113568,Adani Enterprises Ltd,,Andhra Pradesh,PPP HAM,Under implementation,National Highway,16,,6,17.881,107.286,,,Mar-2020,17.5,30,Jul-2020,,Jul-2021,Jan-2024,Apr-2025,,,,0.00,618.00,0.00,1546.31,0.00,0.00,0.00,0.00,0.00,,86.48,14,,Navayuga Engineering Company Limited,Design (km 30.000 - km 47.881);,6L of Vijayawada Bypass from Gollapudi to Chinnakakani in Vijayawada - Gundugolanu Section from km. 30.00 to km. 47.881 (Pkg-IV)
119,N/04022/02005/TN,Guduvanchery - Chettipuniyam Mahindra City,Bharatmala Pariyojana,,,,KCP Engineers Pvt Ltd,U45400TN2011PTC099511,Tamil Nadu,EPC,Completed,National Highway,45,Phase - 1,8,13.3,106.4,,,Feb-2021,,,Feb-2021,,Apr-2021,Feb-2022,Sep-2023,,Jul-2023,,0.00,0.00,0.00,209.09,0.00,230.69,0.00,0.00,0.00,21.60,15.72,17,,,Design (km 43.00 - km 96.714);,8L of Guduvanchery (Km 38.00) - Maraimalai Nagar (km 42.00) -Singaperumal Koil (47.00) - Chettipuniyam Mahindra city (51.300) Section of NH 45
